+------------------------------------------------------+------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------+-------------------------------------------+
| ID                                                   | Name                                                 | Description                                                                                                          | Parent                                    |
| triumph:vanilla/nether/brew_potion                   | [Local Brewery]                                      | Brew a potion                                                                                                        | triumph:vanilla/nether/obtain_blaze_rod   |
| triumph:vanilla/nether/create_beacon                 | [Bring Home the Beacon]                              | Construct and place a Beacon                                                                                         | triumph:vanilla/nether/summon_wither      |
| triumph:vanilla/nether/create_full_beacon            | [Beaconator]                                         | Bring a beacon to full power                                                                                         | triumph:vanilla/nether/create_beacon      |
| triumph:vanilla/nether/fast_travel                   | [Subspace Bubble]                                    | Use the Nether to travel 7km in the Overworld                                                                        | triumph:vanilla/nether/root               |
| triumph:vanilla/nether/find_fortress                 | [A Terrible Fortress]                                | Break your way into a Nether Fortress                                                                                | triumph:vanilla/nether/root               |
| triumph:vanilla/nether/get_wither_skull              | [Spooky Scary Skeleton]                              | Obtain a wither skeleton's skull                                                                                     | triumph:vanilla/nether/find_fortress      |
| triumph:vanilla/nether/obtain_blaze_rod              | [Into Fire]                                          | Relieve a Blaze of its rod                                                                                           | triumph:vanilla/nether/find_fortress      |
| triumph:vanilla/nether/return_to_sender              | [Return to Sender]                                   | Destroy a Ghast with a fireball                                                                                      | triumph:vanilla/nether/root               |
| triumph:vanilla/nether/root                          | [Nether]                                             | Bring summer clothes                                                                                                 | -                                         |
| triumph:vanilla/nether/summon_wither                 | [Withering Heights]                                  | Summon the Wither                                                                                                    | triumph:vanilla/nether/get_wither_skull   |
| triumph:vanilla/nether/uneasy_alliance               | [Uneasy Alliance]                                    | Rescue a Ghast from the Nether, bring it safely home to the Overworld... and then kill it.                           | triumph:vanilla/nether/return_to_sender   |
| triumph:vanilla/recipes/brewing/blaze_powder         | triumph:vanilla/recipes/brewing/blaze_powder         | <null>                                                                                                               | triumph:vanilla/recipes/root              |
| triumph:vanilla/recipes/brewing/brewing_stand        | triumph:vanilla/recipes/brewing/brewing_stand        | <null>                                                                                                               | triumph:vanilla/recipes/root              |
| triumph:vanilla/recipes/brewing/cauldron             | triumph:vanilla/recipes/brewing/cauldron             | <null>                                                                                                               | triumph:vanilla/recipes/root              |
| triumph:vanilla/recipes/brewing/fermented_spider_eye | triumph:vanilla/recipes/brewing/fermented_spider_eye | <null>                                                                                                               | triumph:vanilla/recipes/root              |
| triumph:vanilla/recipes/brewing/glass_bottle         | triumph:vanilla/recipes/brewing/glass_bottle         | <null>                                                                                                               | triumph:vanilla/recipes/root              |
| triumph:vanilla/recipes/brewing/golden_carrot        | triumph:vanilla/recipes/brewing/golden_carrot        | <null>                                                                                                               | triumph:vanilla/recipes/root              |
| triumph:vanilla/recipes/brewing/magma_cream          | triumph:vanilla/recipes/brewing/magma_cream          | <null>                                                                                                               | triumph:vanilla/recipes/root              |
| triumph:vanilla/recipes/brewing/speckled_melon       | triumph:vanilla/recipes/brewing/speckled_melon       | <null>                                                                                                               | triumph:vanilla/recipes/root              |
| triumph:vanilla/recipes/root                         | triumph:vanilla/recipes/root                         | <null>                                                                                                               | -                                         |
| triumph:vanilla/story/cure_zombie_villager           | [Zombie Doctor]                                      | Weaken and then cure a zombie villager                                                                               | triumph:vanilla/story/enter_the_nether    |
| triumph:vanilla/story/deflect_arrow                  | [Not Today, Thank You]                               | Deflect an arrow with a shield                                                                                       | triumph:vanilla/story/obtain_armor        |
| triumph:vanilla/story/enchant_item                   | [Enchanter]                                          | Enchant an item at an Enchanting Table                                                                               | triumph:vanilla/story/mine_diamond        |
| triumph:vanilla/story/enter_the_end                  | [The End?]                                           | Enter the End Portal                                                                                                 | triumph:vanilla/story/follow_ender_eye    |
| triumph:vanilla/story/enter_the_nether               | [We Need to Go Deeper]                               | Build, light and enter a Nether Portal                                                                               | triumph:vanilla/story/form_obsidian       |
| triumph:vanilla/story/follow_ender_eye               | [Eye Spy]                                            | Follow an Ender Eye                                                                                                  | triumph:vanilla/story/enter_the_nether    |
| triumph:vanilla/story/form_obsidian                  | [Ice Bucket Challenge]                               | Form and mine a block of Obsidian                                                                                    | triumph:vanilla/story/lava_bucket         |
| triumph:vanilla/story/iron_tools                     | [Isn't It Iron Pick]                                 | Upgrade your pickaxe                                                                                                 | triumph:vanilla/story/smelt_iron          |
| triumph:vanilla/story/lava_bucket                    | [Hot Stuff]                                          | Fill a bucket with lava                                                                                              | triumph:vanilla/story/smelt_iron          |
| triumph:vanilla/story/mine_diamond                   | [Diamonds!]                                          | Acquire diamonds                                                                                                     | triumph:vanilla/story/iron_tools          |
| triumph:vanilla/story/mine_stone                     | [Stone Age]                                          | Mine stone with your new pickaxe                                                                                     | triumph:vanilla/story/root                |
| triumph:vanilla/story/obtain_armor                   | [Suit Up]                                            | Protect yourself with a piece of iron armor                                                                          | triumph:vanilla/story/smelt_iron          |
| triumph:vanilla/story/root                           | [Minecraft]                                          | The heart and story of the game                                                                                      | -                                         |
| triumph:vanilla/story/shiny_gear                     | [Cover Me With Diamonds]                             | Diamond armor saves lives                                                                                            | triumph:vanilla/story/mine_diamond        |
| triumph:vanilla/story/smelt_iron                     | [Acquire Hardware]                                   | Smelt an iron ingot                                                                                                  | triumph:vanilla/story/upgrade_tools       |
| triumph:vanilla/story/upgrade_tools                  | [Getting an Upgrade]                                 | Construct a better pickaxe                                                                                           | triumph:vanilla/story/mine_stone          |
+------------------------------------------------------+------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------+-------------------------------------------+
| ID                                                   | Name                                                 | Description                                                                                                          | Parent                                    |
+------------------------------------------------------+------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------+-------------------------------------------+
